,시설명,시도명,시군구명,소재지도로명주소,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호
0,덕산면행정복지센터,충청북도,제천시,충청북도 제천시 덕산면 약초로 59,정문입구,09:00,18:00,00:00,00:00,00:00,00:00,1,Y,Y,충청북도 제천시청,043-641-5355
1,백운면행정복지센터,충청북도,제천시,충청북도 제천시 백운면 애련로 13,정문입구,09:00,18:00,00:00,00:00,00:00,00:00,1,Y,Y,충청북도 제천시청,043-641-5355
2,서면행정복지센터,충청남도,서천군,충청남도 서천군 서면 서인로 761,1층 현관,09:00,18:00,09:00,12:00,09:00,18:00,1,N,Y,서면행정복지센터,041-950-6560
3,대한노인회서천군지회,충청남도,서천군,충청남도 서천군 서천읍 군청안길 27,1층 현관,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,대한노인회서천군지회,041-953-2074
4,서천국민체육센터,충청남도,서천군,충청남도 서천군 마서면 마서로 400,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,1,N,Y,서천국민체육센터,041-950-4766
5,태안군청,충청남도,태안군,충청남도 태안군 태안읍 군청로 1,태안군청 민원봉사과,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청남도 태안군 복지증진과,041-670-2776
6,태안읍사무소,충청남도,태안군,충청남도 태안군 태안읍 백화로 54,태안읍사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청남도 태안군 복지증진과,041-670-2776
7,안면읍사무소,충청남도,태안군,충청남도 태안군 안면읍 장터로 149,안면읍사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청남도 태안군 복지증진과,041-670-2776
8,고남면사무소,충청남도,태안군,충청남도 태안군 고남면 안면대로 4254-12,고남면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,충청남도 태안군 복지증진과,041-670-2776
9,남면사무소,충청남도,태안군,충청남도 태안군 남면 달산포로 311,남면사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청남도 태안군 복지증진과,041-670-2776
10,근흥면사무소,충청남도,태안군,충청남도 태안군 근흥면 근흥로 724,근흥면사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청남도 태안군 복지증진과,041-670-2776
11,동이면행정복지센터,충청북도,옥천군,충청북도 옥천군 동이면 평산4길 2,다목적회관 출입구 반대편 벽면,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
12,안남면행정복지센터,충청북도,옥천군,충청북도 옥천군 안남면 연주길 46,정문입구 오른쪽,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
13,옥천노인장애인복지관,충청북도,옥천군,충청북도 옥천군 옥천읍 삼양로 8길 9,정문입구 오른쪽,09:00,18:00,09:00,18:00,09:00,18:00,4,N,Y,충청북도 옥천군,043-730-3645
14,청성면행정복지센터,충청북도,옥천군,충청북도 옥천군 청성면 산계길 53,청성행정복지센터 입구쪽 실내,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
15,운수면 복지회관,경상북도,고령군,경상북도 고령군 운수면 운용로 106-1,운수면 복지회관,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,경상북도 고령군청,054-950-7604
16,성산면사무소,경상북도,고령군,경상북도 고령군 성산면 성산로 897,성산면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,경상북도 고령군청,054-950-7654
17,장애인복지회관,강원특별자치도,태백시,강원특별자치도 태백시 태백로 1134,복지회관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,강원특별자치도 태백시 장애인복지회관,033-553-7964
18,장애인 종합복지관,강원특별자치도,태백시,강원특별자치도 태백시 금천길 179,종합복지관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,강원특별자치도 태백시 장애인 종합복지관,033-582-7048
19,태백병원,강원특별자치도,태백시,강원특별자치도 태백시 보드미길 8,태백병원 입구,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,강원특별자치도 태백시 태백병원,033-552-3100
20,버스터미널,강원특별자치도,태백시,강원특별자치도 태백시 광장로 6,터미널 입구,09:00,23:59,09:00,23:59,09:00,23:59,2,Y,Y,강원특별자치도 태백시 버스터미널,033-580-3114
21,황지동행정복지센터,강원특별자치도,태백시,강원특별자치도 태백시 황지로 133,주민센터 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,강원특별자치도 태백시 황지동행정복지센터,033-550-2601
22,황연동행정복지센터,강원특별자치도,태백시,강원특별자치도 태백시 광장로 31,주민센터 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,강원특별자치도 태백시 황연동행정복지센터,033-550-2602
23,신녕면민복지회관,경상북도,영천시,경상북도 영천시 신녕면 본관시장길 34,신녕면민복지회관 주차장 인근,10:00,20:00,00:00,00:00,00:00,00:00,2,N,Y,신녕면민복지회관,054-339-7221
24,영천시장애인회관,경상북도,영천시,경상북도 영천시 천문로 210-7,영천시장애인회관 주차장 인근,00:00,23:59,00:00,23:59,00:00,23:59,6,N,Y,영천시장애인회관,054-337-4422
25,청성작은도서관,충청북도,옥천군,충청북도 옥천군 청성면 산계길 53,도서관 앞,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청북도 옥천군,043-730-3645
26,옥천노인장애인복지관청산분관,충청북도,옥천군,충청북도 옥천군 청산면 지전길 23-9 노인복지시설,복지관분관 안(후문쪽),09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,충청북도 옥천군,043-730-3645
27,이원면행정복지센터,충청북도,옥천군,충청북도 옥천군 이원면 신흥1길 14,이원행정복지센터 안,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
28,군서면행정복지센터,충청북도,옥천군,충청북도 옥천군 군서면 성왕로 540,복지민원팀 입구 왼쪽,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
29,군북면행정복지센터,충청북도,옥천군,충청북도 옥천군 군북면 이백길 8,다목적회관 1층 현관문 출입구,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
